ID	log2fold	p	p.adj
ENSMUSG00000037716	45.330663266	3.2033304235434E-181	6.68310826263859E-177
ENSMUSG00000005947	-9.0717996559	3.13623886323267E-077	3.27156757018116E-073
ENSMUSG00000102813	21.8471039828	5.67797703926845E-061	3.94865449900859E-057
ENSMUSG00000028100	4.2442202591	6.27644497174623E-056	3.27363678613854E-052
ENSMUSG00000039031	-3.6362909777	2.61753248949646E-053	1.0921916065673E-049
ENSMUSG00000036533	4.5777861445	3.60464335289241E-050	1.25339457118991E-046
ENSMUSG00000030798	4.7215670525	4.79438588841869E-048	1.4289324684297E-044
ENSMUSG00000033508	6.3529030898	1.96579812405815E-047	5.12655578277814E-044
ENSMUSG00000054626	-4.1667507583	8.29406901026233E-046	1.92265735290114E-042
ENSMUSG00000030630	5.4298256521	1.56902096077932E-043	3.2734484304739E-040
ENSMUSG00000024084	-6.4721792154	3.10532428264714E-043	5.88967095535158E-040
ENSMUSG00000102329	4.0599973109	8.78231328727461E-043	1.52687835093675E-039
ENSMUSG00000030231	-2.5752858818	1.43380731833704E-042	2.30104016018967E-039
ENSMUSG00000030774	-2.76714353	1.86825897621454E-041	2.78410621576885E-038
ENSMUSG00000079037	3.3643929778	1.75677177926935E-040	2.44343530872643E-037
ENSMUSG00000029061	3.897068766	1.92762912751675E-040	2.51350790546138E-037
ENSMUSG00000026177	4.2512334376	2.52872005393945E-039	3.10333449913757E-036
ENSMUSG00000016283	7.0967005326	3.08059918884449E-038	3.57058560427015E-035
ENSMUSG00000058672	2.7698719265	2.29369669766778E-036	2.51859969491805E-033
ENSMUSG00000030206	-5.3612597478	7.56709151748308E-036	7.51772525377378E-033
ENSMUSG00000027239	5.7320012302	7.46816106138751E-036	7.51772525377378E-033
ENSMUSG00000004359	9.6169047566	9.86839638865504E-036	9.35837972075046E-033
ENSMUSG00000032087	5.1509778805	1.09469785942474E-035	9.92986149616448E-033
ENSMUSG00000002957	-2.0952935124	2.30253479102132E-034	2.00157430604491E-031
ENSMUSG00000021087	-2.6411696527	2.83060040812432E-034	2.36219265258791E-031
ENSMUSG00000070565	3.234730499	1.16185636406725E-033	9.32300358597504E-031
ENSMUSG00000000782	4.2692180247	1.27477378603392E-033	9.60222205561632E-031
ENSMUSG00000023032	4.0489465501	1.28870353044748E-033	9.60222205561632E-031
ENSMUSG00000039629	3.2604600268	9.87198295655601E-033	7.10204070422855E-030
ENSMUSG00000024673	5.1980302883	6.24109743044346E-032	4.3402671897114E-029
ENSMUSG00000030745	2.5124584652	1.20437252261864E-031	8.10542707722342E-029
ENSMUSG00000090523	2.6583326593	4.47306029004892E-031	2.91629552597783E-028
ENSMUSG00000038781	3.242159304	4.89571690876292E-031	3.09513157174306E-028
ENSMUSG00000029075	3.7389941434	8.33615971890635E-031	5.11521471222186E-028
ENSMUSG00000108693	4.3179700109	4.44626149252635E-030	2.65035295767364E-027
ENSMUSG00000113669	-4.1158019549	7.96878037866268E-030	4.61812958444554E-027
ENSMUSG00000058317	4.5837665429	8.8235028940759E-030	4.97526326700285E-027
ENSMUSG00000006310	6.027792134	2.64827731408675E-029	1.43945225037096E-026
ENSMUSG00000024399	3.9718126184	2.69082288091201E-029	1.43945225037096E-026
ENSMUSG00000027315	-3.0883531997	1.32285451639279E-028	6.8996784438757E-026
ENSMUSG00000024778	3.7804603	1.40935949052857E-028	7.1715773294872E-026
ENSMUSG00000042474	7.5559550876	1.73637315945189E-028	8.62522695848684E-026
ENSMUSG00000020926	6.0431319521	2.31745092130056E-028	1.12439485049055E-025
ENSMUSG00000028613	4.6072486939	2.3715315171304E-028	1.12448322822481E-025
ENSMUSG00000105283	-3.8005395637	5.89841337292137E-028	2.73463551553908E-025
ENSMUSG00000021559	-4.1296528821	8.60140862150519E-028	3.90111278414049E-025
ENSMUSG00000024675	3.3158756635	1.11304399056326E-027	4.9407312287492E-025
ENSMUSG00000037944	3.2688370713	1.16005092062822E-027	5.04211299105554E-025
ENSMUSG00000028789	3.6550448808	1.49992314689245E-027	6.38630543135046E-025
ENSMUSG00000026581	4.6447103386	2.14204139956135E-027	8.93788194380968E-025
ENSMUSG00000018821	3.2223954905	4.13440101055646E-027	1.69129428006352E-024
ENSMUSG00000025790	-3.720633611	4.48995341572028E-027	1.80142111754177E-024
ENSMUSG00000024781	-1.7909921681	4.63409808800979E-027	1.82417336622921E-024
