ID	Chromosome	Start	Stop	Symbol	Biotype
ENSMUSG00000064372	MT	15356	15422	mt-Tp	Mt_tRNA
ENSMUSG00000064371	MT	15289	15355	mt-Tt	Mt_tRNA
ENSMUSG00000064370	MT	14145	15288	mt-Cytb	protein_coding
ENSMUSG00000064369	MT	14071	14139	mt-Te	Mt_tRNA
ENSMUSG00000064368	MT	13552	14070	mt-Nd6	protein_coding
ENSMUSG00000064367	MT	11742	13565	mt-Nd5	protein_coding
ENSMUSG00000064366	MT	11671	11741	mt-Tl2	Mt_tRNA
ENSMUSG00000064365	MT	11613	11671	mt-Ts2	Mt_tRNA
ENSMUSG00000064364	MT	11546	11612	mt-Th	Mt_tRNA
ENSMUSG00000064363	MT	10167	11544	mt-Nd4	protein_coding
ENSMUSG00000065947	MT	9877	10173	mt-Nd4l	protein_coding
ENSMUSG00000064361	MT	9808	9875	mt-Tr	Mt_tRNA
ENSMUSG00000064360	MT	9459	9806	mt-Nd3	protein_coding
ENSMUSG00000064359	MT	9391	9458	mt-Tg	Mt_tRNA
ENSMUSG00000064358	MT	8607	9390	mt-Co3	protein_coding
ENSMUSG00000064357	MT	7927	8607	mt-Atp6	protein_coding
ENSMUSG00000064356	MT	7766	7969	mt-Atp8	protein_coding
ENSMUSG00000064355	MT	7700	7764	mt-Tk	Mt_tRNA
ENSMUSG00000064354	MT	7013	7696	mt-Co2	protein_coding
ENSMUSG00000064353	MT	6942	7011	mt-Td	Mt_tRNA
ENSMUSG00000064352	MT	6870	6938	mt-Ts1	Mt_tRNA
ENSMUSG00000064351	MT	5328	6872	mt-Co1	protein_coding
ENSMUSG00000064350	MT	5260	5326	mt-Ty	Mt_tRNA
ENSMUSG00000064349	MT	5192	5257	mt-Tc	Mt_tRNA
ENSMUSG00000064348	MT	5089	5159	mt-Tn	Mt_tRNA
ENSMUSG00000064347	MT	5018	5086	mt-Ta	Mt_tRNA
ENSMUSG00000064346	MT	4950	5016	mt-Tw	Mt_tRNA
